EVENT,TIME,VALUE
game_start,120,null
game_over,71.62093,LOSE
player_killed,71.62093,null
small_enemy_hit,78.60303,null
small_enemy_hit,77.27425,null
small_enemy_hit,75.61074,null
small_enemy_hit,73.94799,null
small_enemy_killed,77.27425,null
small_enemy_killed,73.94799,null
big_enemy_hit,99.3097,null
big_enemy_hit,98.03712,null
big_enemy_hit,95.1144,null
big_enemy_hit,93.56007,null
big_enemy_hit,93.56007,null
big_enemy_hit,92.12646,null
big_enemy_hit,90.67802,null
big_enemy_hit,80.27165,null
big_enemy_hit,78.60303,null
big_enemy_hit,78.60303,null
big_enemy_killed,98.03712,null
big_enemy_killed,93.56007,null
big_enemy_killed,92.12646,null
big_enemy_killed,78.60303,null
big_enemy_killed,78.60303,null
player_attack,106.7389,null
player_attack,105.4664,null
player_attack,101.4347,null
player_attack,99.91086,null
player_attack,98.67545,null
player_attack,97.3876,null
player_attack,95.76146,null
player_attack,94.12547,null
player_attack,92.73563,null
player_attack,91.22134,null
player_attack,80.93627,null
player_attack,79.27164,null
player_attack,77.93636,null
player_attack,76.27741,null
player_attack,74.61073,null
player_attack,72.94798,null
