EVENT,TIME,VALUE
game_start,120,null
game_over,54.77022,LOSE
player_killed,54.77022,null
small_enemy_hit,79.00809,null
small_enemy_hit,76.62849,null
small_enemy_hit,76.62849,null
small_enemy_hit,74.69775,null
small_enemy_hit,63.72192,null
small_enemy_hit,61.62337,null
small_enemy_hit,55.76642,null
small_enemy_killed,76.62849,null
small_enemy_killed,74.69775,null
small_enemy_killed,61.62337,null
big_enemy_hit,90.23933,null
big_enemy_hit,88.4971,null
big_enemy_hit,82.1031,null
big_enemy_hit,79.00809,null
big_enemy_hit,79.00809,null
big_enemy_hit,76.62849,null
big_enemy_hit,76.62849,null
big_enemy_hit,74.69775,null
big_enemy_hit,74.69775,null
big_enemy_hit,73.25101,null
big_enemy_killed,88.4971,null
big_enemy_killed,76.62849,null
big_enemy_killed,74.69775,null
big_enemy_killed,73.25101,null
player_attack,117.5625,null
player_attack,115.4253,null
player_attack,107.262,null
player_attack,105.674,null
player_attack,103.7918,null
player_attack,102.2606,null
player_attack,100.9655,null
player_attack,99.55339,null
player_attack,97.66679,null
player_attack,95.40596,null
player_attack,90.68422,null
player_attack,88.90558,null
player_attack,87.69284,null
player_attack,86.19235,null
player_attack,83.83921,null
player_attack,82.51198,null
player_attack,79.4242,null
player_attack,77.04994,null
player_attack,75.18523,null
player_attack,73.73181,null
player_attack,70.06603,null
player_attack,68.64343,null
player_attack,64.20668,null
player_attack,62.1073,null
player_attack,56.25937,null
