EVENT,TIME,VALUE
game_start,120,null
game_over,75.44622,LOSE
player_killed,75.44622,null
small_enemy_hit,97.11192,null
small_enemy_hit,95.52428,null
small_enemy_killed,95.52428,null
big_enemy_hit,108.2747,null
big_enemy_hit,104.4596,null
big_enemy_hit,103.1396,null
big_enemy_hit,103.1396,null
big_enemy_hit,97.11192,null
big_enemy_hit,95.52428,null
big_enemy_hit,79.14407,null
big_enemy_hit,75.91639,null
big_enemy_killed,103.1396,null
big_enemy_killed,95.52428,null
big_enemy_killed,79.14407,null
big_enemy_killed,75.91639,null
player_attack,118.5733,null
player_attack,108.6749,null
player_attack,107.4777,null
player_attack,106.0639,null
player_attack,104.8727,null
player_attack,103.5519,null
player_attack,97.51211,null
player_attack,95.92484,null
player_attack,94.88344,null
player_attack,86.42682,null
player_attack,83.95856,null
player_attack,82.90566,null
player_attack,79.55708,null
player_attack,78.1167,null
player_attack,76.31663,null
