EVENT,TIME,VALUE
game_start,120,null
game_over,79.02155,LOSE
player_killed,79.02155,null
small_enemy_hit,91.77864,null
small_enemy_hit,91.77864,null
small_enemy_hit,90.71936,null
small_enemy_hit,89.31232,null
small_enemy_hit,89.31232,null
small_enemy_hit,88.05691,null
small_enemy_hit,88.05691,null
small_enemy_hit,85.57472,null
small_enemy_hit,81.74463,null
small_enemy_hit,80.40096,null
small_enemy_killed,90.71936,null
small_enemy_killed,88.05691,null
small_enemy_killed,88.05691,null
small_enemy_killed,85.57472,null
small_enemy_killed,80.40096,null
big_enemy_hit,88.05691,null
big_enemy_hit,86.84607,null
big_enemy_killed,86.84607,null
player_attack,117.9034,null
player_attack,103.0501,null
player_attack,92.25065,null
player_attack,91.15051,null
player_attack,89.83205,null
player_attack,88.5967,null
player_attack,87.37102,null
player_attack,86.03593,null
player_attack,84.7963,null
player_attack,83.55775,null
player_attack,82.24387,null
player_attack,80.91332,null
player_attack,79.68121,null
