EVENT,TIME,VALUE
game_start,120,null
game_over,80.41291,LOSE
player_killed,80.41291,null
small_enemy_hit,98.40542,null
small_enemy_hit,96.00672,null
small_enemy_hit,96.00672,null
small_enemy_hit,94.95634,null
small_enemy_hit,91.42445,null
small_enemy_hit,85.8279,null
small_enemy_killed,96.00672,null
small_enemy_killed,94.95634,null
small_enemy_killed,85.8279,null
big_enemy_hit,89.82561,null
big_enemy_hit,88.77685,null
big_enemy_killed,88.77685,null
player_attack,100.7269,null
player_attack,98.8211,null
player_attack,96.42096,null
player_attack,95.3571,null
player_attack,93.77389,null
player_attack,91.82485,null
player_attack,90.24155,null
player_attack,89.19257,null
player_attack,88.17593,null
player_attack,86.24107,null
