EVENT,TIME,VALUE
game_start,120,null
game_over,64.62408,LOSE
player_killed,64.62408,null
small_enemy_hit,76.36675,null
small_enemy_hit,75.27111,null
small_enemy_hit,74.10437,null
small_enemy_hit,72.93764,null
small_enemy_hit,71.51746,null
small_enemy_hit,70.30814,null
small_enemy_hit,67.66544,null
small_enemy_hit,66.53353,null
small_enemy_hit,65.15876,null
small_enemy_killed,75.27111,null
small_enemy_killed,72.93764,null
small_enemy_killed,70.30814,null
small_enemy_killed,66.53353,null
big_enemy_hit,102.5812,null
big_enemy_hit,101.0633,null
big_enemy_hit,95.27499,null
big_enemy_hit,94.02271,null
big_enemy_hit,82.44617,null
big_enemy_hit,81.30988,null
big_enemy_hit,80.23449,null
big_enemy_hit,78.90967,null
big_enemy_hit,72.93764,null
big_enemy_hit,70.30814,null
big_enemy_hit,65.15876,null
big_enemy_killed,101.0633,null
big_enemy_killed,94.02271,null
big_enemy_killed,78.90967,null
big_enemy_killed,70.30814,null
player_attack,118.8204,null
player_attack,108.9059,null
player_attack,102.9939,null
player_attack,101.4826,null
player_attack,100.3292,null
player_attack,95.68141,null
player_attack,94.47082,null
player_attack,93.22096,null
player_attack,82.86952,null
player_attack,81.72288,null
player_attack,80.64851,null
player_attack,79.34914,null
player_attack,78.15015,null
player_attack,76.78767,null
player_attack,75.67632,null
player_attack,74.55073,null
player_attack,73.38186,null
player_attack,71.97381,null
player_attack,70.76,null
player_attack,69.42332,null
player_attack,68.11292,null
player_attack,66.93755,null
player_attack,65.62074,null
