EVENT,TIME,VALUE
game_start,120,null
game_over,0,LOSE
small_enemy_hit,93.76657,null
small_enemy_hit,92.66682,null
small_enemy_hit,86.76666,null
small_enemy_hit,39.76246,null
small_enemy_hit,38.64465,null
small_enemy_hit,31.43469,null
small_enemy_hit,31.43469,null
small_enemy_hit,29.25388,null
small_enemy_hit,28.07065,null
small_enemy_hit,28.07065,null
small_enemy_hit,13.97021,null
small_enemy_killed,92.66682,null
small_enemy_killed,38.64465,null
small_enemy_killed,31.43469,null
small_enemy_killed,28.07065,null
small_enemy_killed,28.07065,null
big_enemy_hit,107.1935,null
big_enemy_hit,106.0436,null
big_enemy_hit,106.0436,null
big_enemy_hit,104.6446,null
big_enemy_hit,103.5774,null
big_enemy_killed,103.5774,null
player_attack,116.9194,null
player_attack,110.5838,null
player_attack,107.6104,null
player_attack,106.445,null
player_attack,105.045,null
player_attack,103.9784,null
player_attack,94.18332,null
player_attack,93.08151,null
player_attack,91.94915,null
player_attack,87.167,null
player_attack,62.16665,null
player_attack,40.16261,null
player_attack,39.04599,null
player_attack,37.94598,null
player_attack,31.83588,null
player_attack,30.68909,null
player_attack,29.66217,null
player_attack,28.48569,null
player_attack,19.43548,null
player_attack,17.00263,null
player_attack,14.37085,null
