EVENT,TIME,VALUE
game_start,120,null
game_over,72.08864,LOSE
player_killed,72.08864,null
small_enemy_hit,83.66988,null
big_enemy_hit,103.5684,null
big_enemy_hit,102.3623,null
big_enemy_hit,102.3623,null
big_enemy_hit,102.3623,null
big_enemy_hit,101.3165,null
big_enemy_hit,101.3165,null
big_enemy_hit,100.2645,null
big_enemy_hit,99.0725,null
big_enemy_hit,91.67487,null
big_enemy_hit,90.31601,null
big_enemy_killed,102.3623,null
big_enemy_killed,101.3165,null
big_enemy_killed,101.3165,null
big_enemy_killed,99.0725,null
big_enemy_killed,90.31601,null
player_attack,108.6402,null
player_attack,105.9467,null
player_attack,103.9721,null
player_attack,102.7905,null
player_attack,101.7297,null
player_attack,100.6876,null
player_attack,99.5014,null
player_attack,98.297,null
player_attack,92.08482,null
player_attack,90.72993,null
player_attack,89.61556,null
player_attack,88.24539,null
player_attack,87.01759,null
player_attack,84.11954,null
player_attack,82.57586,null
player_attack,74.43826,null
