EVENT,TIME,VALUE
game_start,120,null
game_over,67.35725,LOSE
player_killed,67.35725,null
small_enemy_hit,102.2187,null
small_enemy_hit,99.3656,null
small_enemy_hit,99.3656,null
small_enemy_hit,98.275,null
small_enemy_hit,76.53917,null
small_enemy_hit,75.48141,null
small_enemy_hit,70.93314,null
small_enemy_hit,69.88969,null
small_enemy_killed,99.3656,null
small_enemy_killed,98.275,null
small_enemy_killed,75.48141,null
small_enemy_killed,69.88969,null
big_enemy_hit,90.57024,null
big_enemy_hit,89.54668,null
big_enemy_hit,88.50606,null
big_enemy_hit,88.50606,null
big_enemy_hit,87.44892,null
big_enemy_hit,87.44892,null
big_enemy_hit,82.24502,null
big_enemy_hit,81.15419,null
big_enemy_killed,87.44892,null
big_enemy_killed,87.44892,null
big_enemy_killed,81.15419,null
player_attack,117.7518,null
player_attack,105.7687,null
player_attack,103.7462,null
player_attack,102.6208,null
player_attack,101.3795,null
player_attack,99.76807,null
player_attack,98.67756,null
player_attack,97.56994,null
player_attack,90.97316,null
player_attack,89.94932,null
player_attack,88.90857,null
player_attack,87.85159,null
player_attack,86.71105,null
player_attack,82.64712,null
player_attack,81.55421,null
player_attack,80.46569,null
player_attack,79.22472,null
player_attack,78.1492,null
player_attack,76.94108,null
player_attack,75.88451,null
player_attack,71.33583,null
player_attack,70.29515,null
player_attack,68.49899,null
player_attack,67.44133,null
