EVENT,TIME,VALUE
game_start,120,null
game_over,3.050339,WIN
small_enemy_hit,68.8553,null
small_enemy_hit,65.82936,null
small_enemy_hit,62.84988,null
small_enemy_hit,60.22459,null
small_enemy_hit,38.69614,null
small_enemy_hit,36.3842,null
small_enemy_hit,33.65464,null
small_enemy_hit,31.50104,null
small_enemy_hit,28.54961,null
small_enemy_hit,25.99515,null
small_enemy_hit,17.69606,null
small_enemy_hit,15.75021,null
small_enemy_hit,13.84187,null
small_enemy_hit,11.76567,null
small_enemy_hit,4.098925,null
small_enemy_hit,3.056234,null
small_enemy_killed,62.84988,null
small_enemy_killed,60.22459,null
small_enemy_killed,36.3842,null
small_enemy_killed,31.50104,null
small_enemy_killed,25.99515,null
small_enemy_killed,15.75021,null
small_enemy_killed,11.76567,null
small_enemy_killed,3.056234,null
big_enemy_hit,110.7505,null
big_enemy_hit,109.5076,null
big_enemy_hit,105.125,null
big_enemy_hit,102.7079,null
big_enemy_hit,94.19569,null
big_enemy_hit,91.10609,null
big_enemy_hit,81.79244,null
big_enemy_hit,78.46795,null
big_enemy_hit,75.73199,null
big_enemy_hit,74.24433,null
big_enemy_hit,60.22459,null
big_enemy_hit,57.09316,null
big_enemy_hit,55.05698,null
big_enemy_hit,52.83326,null
big_enemy_hit,46.52979,null
big_enemy_hit,44.11308,null
big_enemy_hit,20.34195,null
big_enemy_hit,17.69606,null
big_enemy_killed,109.5076,null
big_enemy_killed,102.7079,null
big_enemy_killed,91.10609,null
big_enemy_killed,74.24433,null
big_enemy_killed,57.09316,null
big_enemy_killed,52.83326,null
big_enemy_killed,44.11308,null
big_enemy_killed,17.69606,null
player_attack,118.9514,null
player_attack,111.1539,null
player_attack,109.9103,null
player_attack,108.8894,null
player_attack,105.5289,null
player_attack,103.1113,null
player_attack,94.59785,null
player_attack,92.55034,null
player_attack,91.50816,null
player_attack,82.19496,null
player_attack,78.87084,null
player_attack,76.13486,null
player_attack,74.64864,null
player_attack,69.25776,null
player_attack,66.23258,null
player_attack,63.25324,null
player_attack,60.62812,null
player_attack,57.49678,null
player_attack,55.4599,null
player_attack,53.23565,null
player_attack,46.93046,null
player_attack,44.51439,null
player_attack,39.09861,null
player_attack,36.78603,null
player_attack,34.05552,null
player_attack,31.90472,null
player_attack,28.95312,null
player_attack,26.39717,null
player_attack,24.11835,null
player_attack,20.74485,null
player_attack,18.09887,null
player_attack,16.15307,null
player_attack,14.24482,null
player_attack,12.16882,null
player_attack,4.501665,null
player_attack,3.460446,null
