EVENT,TIME,VALUE
game_start,120,null
game_over,0,LOSE
small_enemy_hit,108.1687,null
small_enemy_hit,106.8782,null
small_enemy_hit,101.8951,null
small_enemy_hit,101.8951,null
small_enemy_hit,100.7053,null
small_enemy_hit,100.7053,null
small_enemy_hit,91.57418,null
small_enemy_hit,90.49664,null
small_enemy_hit,73.29702,null
small_enemy_hit,71.99472,null
small_enemy_hit,54.63023,null
small_enemy_hit,53.49847,null
small_enemy_hit,8.332196,null
small_enemy_hit,7.270598,null
small_enemy_hit,4.875882,null
small_enemy_hit,3.845377,null
small_enemy_killed,106.8782,null
small_enemy_killed,100.7053,null
small_enemy_killed,100.7053,null
small_enemy_killed,90.49664,null
small_enemy_killed,71.99472,null
small_enemy_killed,53.49847,null
small_enemy_killed,7.270598,null
small_enemy_killed,3.845377,null
big_enemy_hit,71.99472,null
big_enemy_hit,65.37341,null
big_enemy_hit,65.37341,null
big_enemy_hit,64.30018,null
big_enemy_hit,49.53873,null
big_enemy_hit,48.47441,null
big_enemy_hit,43.29039,null
big_enemy_hit,42.12452,null
big_enemy_hit,37.92213,null
big_enemy_hit,36.67414,null
big_enemy_hit,27.0368,null
big_enemy_hit,25.88243,null
big_enemy_hit,23.89984,null
big_enemy_hit,21.50218,null
big_enemy_killed,65.37341,null
big_enemy_killed,64.30018,null
big_enemy_killed,48.47441,null
big_enemy_killed,42.12452,null
big_enemy_killed,36.67414,null
big_enemy_killed,21.50218,null
player_attack,118.1542,null
player_attack,108.5691,null
player_attack,107.3157,null
player_attack,106.2508,null
player_attack,102.3181,null
player_attack,101.1347,null
player_attack,100.0363,null
player_attack,91.9805,null
player_attack,90.93418,null
player_attack,73.70029,null
player_attack,72.4407,null
player_attack,68.94099,null
player_attack,67.52422,null
player_attack,65.80543,null
player_attack,64.73868,null
player_attack,63.67006,null
player_attack,55.03234,null
player_attack,53.90103,null
player_attack,49.94152,null
player_attack,48.87727,null
player_attack,43.70706,null
player_attack,42.54152,null
player_attack,39.49473,null
player_attack,38.36546,null
player_attack,37.12048,null
player_attack,27.47054,null
player_attack,26.30743,null
player_attack,24.312,null
player_attack,23.15178,null
player_attack,21.90569,null
player_attack,20.79119,null
player_attack,8.735683,null
player_attack,7.698044,null
player_attack,5.302758,null
player_attack,4.259519,null
