EVENT,TIME,VALUE
game_start,120,null
game_over,17.69109,LOSE
player_killed,17.69109,null
small_enemy_hit,89.77699,null
small_enemy_hit,88.58558,null
small_enemy_hit,69.99725,null
small_enemy_hit,68.88622,null
small_enemy_hit,55.507,null
small_enemy_hit,54.2925,null
small_enemy_hit,43.35456,null
small_enemy_hit,42.20335,null
small_enemy_hit,30.45085,null
small_enemy_hit,29.25429,null
small_enemy_hit,18.30192,null
small_enemy_killed,88.58558,null
small_enemy_killed,68.88622,null
small_enemy_killed,54.2925,null
small_enemy_killed,42.20335,null
small_enemy_killed,29.25429,null
big_enemy_hit,100.0651,null
big_enemy_hit,98.6683,null
big_enemy_hit,93.00342,null
big_enemy_hit,91.86241,null
big_enemy_hit,90.80412,null
big_enemy_hit,89.77699,null
big_enemy_hit,78.75439,null
big_enemy_hit,78.75439,null
big_enemy_hit,77.56734,null
big_enemy_hit,77.56734,null
big_enemy_hit,57.76007,null
big_enemy_hit,56.63655,null
big_enemy_hit,48.95839,null
big_enemy_hit,47.79414,null
big_enemy_killed,98.6683,null
big_enemy_killed,89.77699,null
big_enemy_killed,77.56734,null
big_enemy_killed,77.56734,null
big_enemy_killed,56.63655,null
big_enemy_killed,47.79414,null
player_attack,108.1653,null
player_attack,103.4668,null
player_attack,101.5823,null
player_attack,100.5013,null
player_attack,99.08334,null
player_attack,98.01609,null
player_attack,93.40637,null
player_attack,92.28947,null
player_attack,91.24027,null
player_attack,90.18575,null
player_attack,88.99796,null
player_attack,87.28377,null
player_attack,80.30248,null
player_attack,79.19256,null
player_attack,77.98881,null
player_attack,76.82905,null
player_attack,70.4376,null
player_attack,69.29046,null
player_attack,68.10585,null
player_attack,58.16547,null
player_attack,57.04126,null
player_attack,55.92006,null
player_attack,54.69963,null
player_attack,53.57664,null
player_attack,52.466,null
player_attack,50.61417,null
player_attack,49.37779,null
player_attack,48.21469,null
player_attack,47.05967,null
player_attack,43.80238,null
player_attack,42.60445,null
player_attack,41.39922,null
player_attack,34.12597,null
player_attack,32.77059,null
player_attack,30.88116,null
player_attack,29.66094,null
player_attack,28.53985,null
player_attack,21.95758,null
player_attack,20.86545,null
player_attack,19.818,null
player_attack,18.71895,null
