EVENT,TIME,VALUE
game_start,120,null
game_over,77.28246,LOSE
player_killed,77.28246,null
small_enemy_hit,109.9516,null
small_enemy_hit,108.7672,null
small_enemy_hit,108.7672,null
small_enemy_hit,107.7117,null
small_enemy_hit,106.4132,null
small_enemy_hit,106.4132,null
small_enemy_hit,106.4132,null
small_enemy_hit,105.2186,null
small_enemy_hit,100.7121,null
small_enemy_hit,99.61483,null
small_enemy_killed,108.7672,null
small_enemy_killed,106.4132,null
small_enemy_killed,106.4132,null
small_enemy_killed,105.2186,null
small_enemy_killed,99.61483,null
big_enemy_hit,93.67711,null
big_enemy_hit,90.15091,null
big_enemy_hit,89.06808,null
big_enemy_hit,89.06808,null
big_enemy_hit,77.65031,null
big_enemy_killed,89.06808,null
big_enemy_killed,89.06808,null
player_attack,118.8051,null
player_attack,111.4999,null
player_attack,110.3542,null
player_attack,109.17,null
player_attack,108.1138,null
player_attack,106.8153,null
player_attack,105.6212,null
player_attack,101.1146,null
player_attack,100.017,null
player_attack,94.07947,null
player_attack,91.5953,null
player_attack,90.55373,null
player_attack,89.47043,null
player_attack,88.35941,null
player_attack,82.08752,null
player_attack,80.94211,null
player_attack,79.72679,null
player_attack,78.05277,null
