EVENT,TIME,VALUE
game_start,120,null
game_over,73.69418,LOSE
player_killed,73.69418,null
small_enemy_hit,79.27357,null
small_enemy_hit,78.06937,null
small_enemy_hit,76.90211,null
small_enemy_hit,75.74636,null
small_enemy_killed,78.06937,null
small_enemy_killed,75.74636,null
big_enemy_hit,103.72,null
big_enemy_hit,102.5568,null
big_enemy_hit,102.5568,null
big_enemy_hit,102.5568,null
big_enemy_hit,101.1626,null
big_enemy_hit,96.8759,null
big_enemy_hit,95.73072,null
big_enemy_hit,90.72246,null
big_enemy_hit,90.72246,null
big_enemy_hit,87.1543,null
big_enemy_hit,76.90211,null
big_enemy_hit,75.74636,null
big_enemy_killed,102.5568,null
big_enemy_killed,101.1626,null
big_enemy_killed,95.73072,null
big_enemy_killed,90.72246,null
big_enemy_killed,87.1543,null
player_attack,104.1727,null
player_attack,102.9725,null
player_attack,101.5802,null
player_attack,97.2813,null
player_attack,96.17682,null
player_attack,94.95678,null
player_attack,92.32936,null
player_attack,91.12923,null
player_attack,89.9958,null
player_attack,88.77528,null
player_attack,87.5743,null
player_attack,86.3682,null
player_attack,79.70286,null
player_attack,78.5118,null
player_attack,77.34666,null
player_attack,76.15238,null
player_attack,74.94778,null
player_attack,73.83014,null
