EVENT,TIME,VALUE
game_start,120,null
game_over,0,LOSE
small_enemy_hit,88.0667,null
small_enemy_hit,86.99965,null
small_enemy_hit,66.8992,null
small_enemy_hit,66.8992,null
small_enemy_hit,64.24943,null
small_enemy_hit,64.24943,null
small_enemy_hit,61.64892,null
small_enemy_hit,61.64892,null
small_enemy_hit,30.79747,null
small_enemy_hit,29.76396,null
small_enemy_hit,18.91373,null
small_enemy_hit,17.7798,null
small_enemy_hit,13.14709,null
small_enemy_hit,12.01366,null
small_enemy_killed,86.99965,null
small_enemy_killed,64.24943,null
small_enemy_killed,61.64892,null
small_enemy_killed,61.64892,null
small_enemy_killed,29.76396,null
small_enemy_killed,17.7798,null
small_enemy_killed,12.01366,null
big_enemy_hit,106.8179,null
big_enemy_hit,104.651,null
big_enemy_hit,95.73368,null
big_enemy_hit,93.35023,null
big_enemy_hit,91.11662,null
big_enemy_hit,91.11662,null
big_enemy_hit,75.64952,null
big_enemy_hit,73.04945,null
big_enemy_hit,64.24943,null
big_enemy_hit,61.64892,null
big_enemy_hit,53.71521,null
big_enemy_hit,48.21507,null
big_enemy_hit,48.21507,null
big_enemy_hit,45.86478,null
big_enemy_hit,26.41418,null
big_enemy_hit,25.23032,null
big_enemy_killed,104.651,null
big_enemy_killed,91.11662,null
big_enemy_killed,91.11662,null
big_enemy_killed,61.64892,null
big_enemy_killed,48.21507,null
big_enemy_killed,45.86478,null
big_enemy_killed,25.23032,null
player_attack,107.2337,null
player_attack,105.0676,null
player_attack,96.15034,null
player_attack,93.76611,null
player_attack,91.53229,null
player_attack,88.48286,null
player_attack,87.4165,null
player_attack,76.0658,null
player_attack,73.46577,null
player_attack,71.14915,null
player_attack,67.3158,null
player_attack,64.66563,null
player_attack,62.06557,null
player_attack,54.13181,null
player_attack,51.88165,null
player_attack,48.6316,null
player_attack,46.28138,null
player_attack,45.2482,null
player_attack,44.0146,null
player_attack,42.71419,null
player_attack,41.59768,null
player_attack,40.18075,null
player_attack,38.88047,null
player_attack,31.21398,null
player_attack,30.1641,null
player_attack,28.91387,null
player_attack,26.81422,null
player_attack,25.63078,null
player_attack,19.33026,null
player_attack,18.18023,null
player_attack,17.16332,null
player_attack,13.56321,null
player_attack,12.43001,null
player_attack,10.54554,null
player_attack,1.229881,null
player_attack,0.07976145,null
