EVENT,TIME,VALUE
game_start,120,null
game_over,64.05421,LOSE
player_killed,64.05421,null
small_enemy_hit,85.46108,null
small_enemy_hit,84.04359,null
small_enemy_hit,66.79727,null
small_enemy_killed,84.04359,null
big_enemy_hit,85.46108,null
big_enemy_hit,84.04359,null
big_enemy_hit,81.59659,null
big_enemy_hit,80.37085,null
big_enemy_killed,84.04359,null
big_enemy_killed,80.37085,null
player_attack,86.00019,null
player_attack,84.56469,null
player_attack,83.29416,null
player_attack,82.11108,null
player_attack,80.87968,null
player_attack,79.58306,null
player_attack,77.71496,null
player_attack,75.44624,null
player_attack,67.24362,null
player_attack,65.50391,null
player_attack,64.05421,null
