EVENT,TIME,VALUE
game_start,120,null
game_over,69.51546,LOSE
player_killed,69.51546,null
small_enemy_hit,82.45396,null
small_enemy_hit,78.71582,null
small_enemy_killed,78.71582,null
big_enemy_hit,105.4634,null
big_enemy_hit,104.3232,null
big_enemy_hit,103.2161,null
big_enemy_hit,101.9264,null
big_enemy_hit,94.14832,null
big_enemy_hit,92.95813,null
big_enemy_hit,70.93903,null
big_enemy_killed,104.3232,null
big_enemy_killed,101.9264,null
big_enemy_killed,92.95813,null
player_attack,105.963,null
player_attack,104.8275,null
player_attack,103.689,null
player_attack,102.4244,null
player_attack,101.3149,null
player_attack,94.55888,null
player_attack,93.36784,null
player_attack,92.10641,null
player_attack,86.44637,null
player_attack,85.2365,null
player_attack,82.88692,null
player_attack,79.12589,null
player_attack,77.93832,null
player_attack,75.64656,null
player_attack,74.42693,null
player_attack,72.68848,null
player_attack,71.36647,null
player_attack,69.51546,null
