EVENT,TIME,VALUE
game_start,120,null
game_over,68.04861,LOSE
player_killed,68.04861,null
small_enemy_hit,97.39316,null
small_enemy_hit,95.80565,null
small_enemy_hit,92.07156,null
small_enemy_hit,81.19887,null
small_enemy_killed,95.80565,null
small_enemy_killed,81.19887,null
big_enemy_hit,81.19887,null
big_enemy_hit,74.89412,null
big_enemy_hit,73.76489,null
big_enemy_hit,73.76489,null
big_enemy_hit,69.98425,null
big_enemy_killed,73.76489,null
big_enemy_killed,73.76489,null
player_attack,97.79415,null
player_attack,96.28087,null
player_attack,92.47207,null
player_attack,88.50819,null
player_attack,81.61783,null
player_attack,75.41766,null
player_attack,74.18626,null
player_attack,72.96156,null
player_attack,71.65248,null
player_attack,70.4835,null
