EVENT,TIME,VALUE
game_start,120,null
game_over,37.93144,LOSE
player_killed,37.93144,null
small_enemy_hit,87.23256,null
small_enemy_hit,86.18204,null
small_enemy_hit,83.69682,null
small_enemy_hit,82.49815,null
small_enemy_hit,77.78152,null
small_enemy_hit,76.66374,null
small_enemy_hit,70.5817,null
small_enemy_hit,69.49921,null
small_enemy_hit,59.73041,null
small_enemy_hit,58.53075,null
small_enemy_hit,46.33036,null
small_enemy_hit,45.18105,null
small_enemy_hit,40.21494,null
small_enemy_hit,38.98021,null
small_enemy_hit,38.98021,null
small_enemy_killed,86.18204,null
small_enemy_killed,82.49815,null
small_enemy_killed,76.66374,null
small_enemy_killed,69.49921,null
small_enemy_killed,58.53075,null
small_enemy_killed,45.18105,null
small_enemy_killed,38.98021,null
big_enemy_hit,108.1152,null
big_enemy_hit,108.1152,null
big_enemy_hit,107.0156,null
big_enemy_hit,104.6834,null
big_enemy_hit,104.6834,null
big_enemy_hit,102.7149,null
big_enemy_hit,95.06495,null
big_enemy_hit,93.83306,null
big_enemy_hit,91.03268,null
big_enemy_hit,90.01423,null
big_enemy_hit,62.51379,null
big_enemy_hit,61.44847,null
big_enemy_hit,51.53153,null
big_enemy_hit,48.33109,null
big_enemy_hit,46.33036,null
big_enemy_hit,45.18105,null
big_enemy_killed,107.0156,null
big_enemy_killed,104.6834,null
big_enemy_killed,102.7149,null
big_enemy_killed,93.83306,null
big_enemy_killed,90.01423,null
big_enemy_killed,61.44847,null
big_enemy_killed,45.18105,null
player_attack,108.5318,null
player_attack,107.4165,null
player_attack,106.2647,null
player_attack,105.099,null
player_attack,103.1309,null
player_attack,101.999,null
player_attack,95.4666,null
player_attack,94.24958,null
player_attack,91.44783,null
player_attack,90.41584,null
player_attack,87.64878,null
player_attack,86.59856,null
player_attack,84.09854,null
player_attack,82.89877,null
player_attack,78.19905,null
player_attack,77.08009,null
player_attack,70.99741,null
player_attack,69.91351,null
player_attack,64.13101,null
player_attack,62.93104,null
player_attack,61.86501,null
player_attack,60.13222,null
player_attack,58.94738,null
player_attack,51.94736,null
player_attack,49.79824,null
player_attack,48.74771,null
player_attack,46.74742,null
player_attack,45.59685,null
player_attack,43.7629,null
player_attack,40.62925,null
player_attack,39.39707,null
player_attack,38.24732,null
