EVENT,TIME,VALUE
game_start,120,null
game_over,70.20896,LOSE
player_killed,70.20896,null
small_enemy_hit,89.96458,null
small_enemy_hit,88.78528,null
small_enemy_hit,76.73557,null
small_enemy_hit,75.69138,null
small_enemy_killed,88.78528,null
small_enemy_killed,75.69138,null
big_enemy_hit,107.0697,null
big_enemy_hit,105.9286,null
big_enemy_hit,105.9286,null
big_enemy_hit,102.3602,null
big_enemy_hit,91.04123,null
big_enemy_hit,89.96458,null
big_enemy_killed,105.9286,null
big_enemy_killed,102.3602,null
big_enemy_killed,89.96458,null
player_attack,108.7667,null
player_attack,107.5337,null
player_attack,106.3553,null
player_attack,105.1456,null
player_attack,103.9313,null
player_attack,102.7996,null
player_attack,101.6686,null
player_attack,100.0047,null
player_attack,98.87502,null
player_attack,91.45014,null
player_attack,90.37254,null
player_attack,89.19061,null
player_attack,88.01527,null
player_attack,83.13345,null
player_attack,81.83671,null
player_attack,78.34174,null
player_attack,77.19005,null
player_attack,76.09692,null
player_attack,74.9833,null
player_attack,73.17002,null
player_attack,72.01423,null
player_attack,70.82099,null
