EVENT,TIME,VALUE
game_start,120,null
game_over,6.746406,WIN
small_enemy_hit,90.21461,null
small_enemy_hit,88.13135,null
small_enemy_hit,74.09752,null
small_enemy_hit,71.76459,null
small_enemy_hit,67.96548,null
small_enemy_hit,65.64714,null
small_enemy_hit,54.33073,null
small_enemy_hit,52.18201,null
small_enemy_hit,46.33163,null
small_enemy_hit,43.93084,null
small_enemy_hit,27.11425,null
small_enemy_hit,24.98048,null
small_enemy_hit,21.18001,null
small_enemy_hit,19.18111,null
small_enemy_hit,9.779583,null
small_enemy_hit,6.762896,null
small_enemy_killed,88.13135,null
small_enemy_killed,71.76459,null
small_enemy_killed,65.64714,null
small_enemy_killed,52.18201,null
small_enemy_killed,43.93084,null
small_enemy_killed,24.98048,null
small_enemy_killed,19.18111,null
small_enemy_killed,6.762896,null
big_enemy_hit,107.4988,null
big_enemy_hit,107.4988,null
big_enemy_hit,104.0997,null
big_enemy_hit,104.0997,null
big_enemy_hit,104.0997,null
big_enemy_hit,101.1161,null
big_enemy_hit,99.96615,null
big_enemy_hit,99.96615,null
big_enemy_hit,99.96615,null
big_enemy_hit,98.7982,null
big_enemy_hit,85.03214,null
big_enemy_hit,82.69866,null
big_enemy_hit,80.24857,null
big_enemy_hit,77.63216,null
big_enemy_hit,60.03162,null
big_enemy_hit,57.31528,null
big_enemy_hit,32.99764,null
big_enemy_hit,31.19752,null
big_enemy_killed,104.0997,null
big_enemy_killed,99.96615,null
big_enemy_killed,99.96615,null
big_enemy_killed,98.7982,null
big_enemy_killed,82.69866,null
big_enemy_killed,77.63216,null
big_enemy_killed,57.31528,null
big_enemy_killed,31.19752,null
player_attack,110.7325,null
player_attack,107.8991,null
player_attack,104.5162,null
player_attack,101.5162,null
player_attack,100.3662,null
player_attack,99.19894,null
player_attack,98.06612,null
player_attack,91.69781,null
player_attack,90.61563,null
player_attack,88.54755,null
player_attack,85.44875,null
player_attack,83.11367,null
player_attack,80.64893,null
player_attack,78.04832,null
player_attack,74.49898,null
player_attack,72.18168,null
player_attack,68.38144,null
player_attack,66.06371,null
player_attack,60.44748,null
player_attack,57.7319,null
player_attack,54.74717,null
player_attack,52.59825,null
player_attack,46.74747,null
player_attack,44.34716,null
player_attack,38.1802,null
player_attack,34.53057,null
player_attack,33.39771,null
player_attack,31.61323,null
player_attack,30.57937,null
player_attack,27.53071,null
player_attack,25.39751,null
player_attack,21.58007,null
player_attack,19.5964,null
player_attack,10.19578,null
player_attack,7.163381,null
