EVENT,TIME,VALUE
game_start,120,null
game_over,14.72739,LOSE
player_killed,14.72739,null
small_enemy_hit,74.83081,null
small_enemy_hit,73.75019,null
small_enemy_hit,73.75019,null
small_enemy_hit,72.63096,null
small_enemy_hit,61.54985,null
small_enemy_hit,60.35078,null
small_enemy_hit,39.01792,null
small_enemy_hit,37.86554,null
small_enemy_hit,30.45673,null
small_enemy_hit,29.37215,null
small_enemy_hit,25.66644,null
small_enemy_hit,24.57365,null
small_enemy_hit,23.29727,null
small_enemy_hit,22.17943,null
small_enemy_hit,17.96685,null
small_enemy_killed,73.75019,null
small_enemy_killed,72.63096,null
small_enemy_killed,60.35078,null
small_enemy_killed,37.86554,null
small_enemy_killed,29.37215,null
small_enemy_killed,24.57365,null
small_enemy_killed,22.17943,null
big_enemy_hit,106.5073,null
big_enemy_hit,105.373,null
big_enemy_hit,100.9383,null
big_enemy_hit,99.76342,null
big_enemy_hit,86.25957,null
big_enemy_hit,85.19302,null
big_enemy_hit,72.63096,null
big_enemy_hit,71.54472,null
big_enemy_hit,70.277,null
big_enemy_hit,69.1554,null
big_enemy_hit,54.48273,null
big_enemy_hit,53.38744,null
big_enemy_hit,50.58786,null
big_enemy_hit,49.40792,null
big_enemy_hit,47.10675,null
big_enemy_hit,46.10639,null
big_enemy_hit,39.01792,null
big_enemy_hit,37.86554,null
big_enemy_killed,105.373,null
big_enemy_killed,99.76342,null
big_enemy_killed,85.19302,null
big_enemy_killed,69.1554,null
big_enemy_killed,53.38744,null
big_enemy_killed,49.40792,null
big_enemy_killed,46.10639,null
big_enemy_killed,37.86554,null
player_attack,106.931,null
player_attack,105.7744,null
player_attack,104.6056,null
player_attack,102.6364,null
player_attack,101.358,null
player_attack,100.1992,null
player_attack,86.67355,null
player_attack,85.61269,null
player_attack,84.33979,null
player_attack,75.25323,null
player_attack,74.16897,null
player_attack,73.04974,null
player_attack,71.97232,null
player_attack,70.69901,null
player_attack,69.57931,null
player_attack,68.50574,null
player_attack,61.97617,null
player_attack,60.77773,null
player_attack,54.93227,null
player_attack,53.83303,null
player_attack,52.77484,null
player_attack,51.03238,null
player_attack,49.8197,null
player_attack,48.77824,null
player_attack,47.5709,null
player_attack,46.50766,null
player_attack,40.67913,null
player_attack,39.44242,null
player_attack,38.29959,null
player_attack,37.15189,null
player_attack,30.87392,null
player_attack,29.79891,null
player_attack,28.67941,null
player_attack,26.08046,null
player_attack,24.98803,null
player_attack,23.70632,null
player_attack,22.62931,null
player_attack,21.47083,null
player_attack,18.39091,null
player_attack,17.33182,null
player_attack,16.0764,null
player_attack,14.8675,null
