EVENT,TIME,VALUE
game_start,120,null
game_over,39.56089,LOSE
player_killed,39.56089,null
small_enemy_hit,111.0858,null
small_enemy_hit,108.4295,null
small_enemy_hit,103.6946,null
small_enemy_hit,101.2286,null
small_enemy_hit,53.36529,null
small_enemy_hit,53.36529,null
small_enemy_hit,50.78556,null
small_enemy_hit,47.9821,null
small_enemy_killed,108.4295,null
small_enemy_killed,101.2286,null
small_enemy_killed,50.78556,null
small_enemy_killed,47.9821,null
big_enemy_hit,92.66845,null
big_enemy_hit,90.15446,null
big_enemy_hit,67.93184,null
big_enemy_hit,56.6842,null
big_enemy_killed,90.15446,null
player_attack,111.5172,null
player_attack,108.8656,null
player_attack,104.1092,null
player_attack,101.6444,null
player_attack,93.09103,null
player_attack,90.58439,null
player_attack,80.27451,null
player_attack,68.36954,null
player_attack,57.10559,null
player_attack,53.79406,null
player_attack,51.2268,null
player_attack,48.41907,null
player_attack,45.97693,null
player_attack,44.55475,null
player_attack,43.17569,null
player_attack,40.63954,null
