EVENT,TIME,VALUE
game_start,120,null
game_over,15,33264,LOSE
player_killed,15,33264,null
small_enemy_hit,106,3816,null
small_enemy_hit,104,6819,null
small_enemy_hit,100,3226,null
small_enemy_hit,99,24177,null
small_enemy_hit,93,32195,null
small_enemy_hit,92,27988,null
small_enemy_hit,39,21549,null
small_enemy_hit,38,09152,null
small_enemy_killed,104,6819,null
small_enemy_killed,99,24177,null
small_enemy_killed,92,27988,null
small_enemy_killed,38,09152,null
big_enemy_hit,84,69518,null
big_enemy_hit,83,58814,null
big_enemy_hit,78,04002,null
big_enemy_hit,76,86937,null
big_enemy_hit,70,26236,null
big_enemy_hit,69,10174,null
big_enemy_hit,61,07015,null
big_enemy_hit,59,92183,null
big_enemy_hit,44,8012,null
big_enemy_hit,43,73055,null
big_enemy_hit,39,21549,null
big_enemy_hit,38,09152,null
big_enemy_hit,31,17491,null
big_enemy_hit,30,00735,null
big_enemy_hit,28,66424,null
big_enemy_hit,27,50302,null
big_enemy_hit,16,0151,null
big_enemy_killed,83,58814,null
big_enemy_killed,76,86937,null
big_enemy_killed,69,10174,null
big_enemy_killed,59,92183,null
big_enemy_killed,43,73055,null
big_enemy_killed,38,09152,null
big_enemy_killed,27,50302,null
player_attack,106,8006,null
player_attack,105,0908,null
player_attack,104,0379,null
player_attack,100,7288,null
player_attack,99,65997,null
player_attack,93,7429,null
player_attack,92,70043,null
player_attack,85,11098,null
player_attack,84,00713,null
player_attack,82,94179,null
player_attack,79,62098,null
player_attack,78,46381,null
player_attack,77,29003,null
player_attack,76,22206,null
player_attack,72,09857,null
player_attack,70,68279,null
player_attack,69,52892,null
player_attack,61,50168,null
player_attack,60,35225,null
player_attack,45,21396,null
player_attack,44,13501,null
player_attack,40,8126,null
player_attack,39,64837,null
player_attack,38,492,null
player_attack,37,43769,null
player_attack,31,58783,null
player_attack,30,43407,null
player_attack,29,09267,null
player_attack,27,92858,null
player_attack,26,82863,null
player_attack,16,42744,null
player_attack,15,37237,null
