EVENT,TIME,VALUE
game_start,120,null
game_over,76.57629,LOSE
player_killed,76.57629,null
small_enemy_hit,105.8135,null
small_enemy_hit,104.6068,null
small_enemy_hit,92.65468,null
small_enemy_hit,92.65468,null
small_enemy_hit,92.65468,null
small_enemy_hit,91.4543,null
small_enemy_hit,91.4543,null
small_enemy_hit,91.4543,null
small_enemy_hit,91.4543,null
small_enemy_hit,90.35176,null
small_enemy_killed,104.6068,null
small_enemy_killed,91.4543,null
small_enemy_killed,91.4543,null
small_enemy_killed,91.4543,null
small_enemy_killed,90.35176,null
big_enemy_hit,83.56037,null
big_enemy_hit,83.56037,null
big_enemy_hit,82.31606,null
big_enemy_hit,82.31606,null
big_enemy_hit,81.17825,null
big_enemy_killed,82.31606,null
player_attack,109.4756,null
player_attack,106.2461,null
player_attack,105.0314,null
player_attack,103.6877,null
player_attack,93.15012,null
player_attack,91.85619,null
player_attack,90.75278,null
player_attack,84.02991,null
player_attack,82.81106,null
player_attack,81.64486,null
player_attack,80.4397,null
player_attack,79.33115,null
