EVENT,TIME,VALUE
game_start,120,null
game_over,59.11696,LOSE
player_killed,59.11696,null
small_enemy_hit,109.7859,null
small_enemy_hit,107.5687,null
small_enemy_hit,107.5687,null
small_enemy_hit,105.7354,null
small_enemy_hit,99.75299,null
small_enemy_hit,97.35358,null
small_enemy_hit,82.00811,null
small_enemy_hit,73.90719,null
small_enemy_killed,107.5687,null
small_enemy_killed,105.7354,null
small_enemy_killed,97.35358,null
small_enemy_killed,73.90719,null
big_enemy_hit,76.47387,null
big_enemy_hit,73.90719,null
big_enemy_hit,65.82737,null
big_enemy_hit,63.03307,null
big_enemy_hit,59.7505,null
big_enemy_killed,63.03307,null
player_attack,110.2008,null
player_attack,107.9688,null
player_attack,106.1521,null
player_attack,100.1693,null
player_attack,97.77143,null
player_attack,82.4242,null
player_attack,80.27496,null
player_attack,76.87413,null
player_attack,74.39075,null
player_attack,71.77534,null
player_attack,69.90005,null
player_attack,66.24431,null
player_attack,63.44967,null
player_attack,60.16682,null
