EVENT,TIME,VALUE
game_start,120,null
game_over,25.85545,LOSE
player_killed,25.85545,null
small_enemy_hit,81.19412,null
small_enemy_hit,80.14558,null
small_enemy_hit,66.11244,null
small_enemy_hit,65.03051,null
small_enemy_hit,59.47583,null
small_enemy_hit,59.47583,null
small_enemy_hit,58.3265,null
small_enemy_hit,58.3265,null
small_enemy_hit,52.93999,null
small_enemy_hit,51.74249,null
small_enemy_hit,34.1059,null
small_enemy_hit,32.82592,null
small_enemy_hit,26.43421,null
small_enemy_killed,80.14558,null
small_enemy_killed,65.03051,null
small_enemy_killed,58.3265,null
small_enemy_killed,58.3265,null
small_enemy_killed,51.74249,null
small_enemy_killed,32.82592,null
big_enemy_hit,108.5414,null
big_enemy_hit,107.3534,null
big_enemy_hit,104.9481,null
big_enemy_hit,103.7228,null
big_enemy_hit,101.9846,null
big_enemy_hit,100.8998,null
big_enemy_hit,92.83016,null
big_enemy_hit,91.76457,null
big_enemy_hit,74.53979,null
big_enemy_hit,73.41673,null
big_enemy_hit,66.11244,null
big_enemy_hit,65.03051,null
big_enemy_hit,48.41362,null
big_enemy_hit,47.34348,null
big_enemy_killed,107.3534,null
big_enemy_killed,100.8998,null
big_enemy_killed,91.76457,null
big_enemy_killed,73.41673,null
big_enemy_killed,65.03051,null
big_enemy_killed,47.34348,null
player_attack,110.2051,null
player_attack,108.9533,null
player_attack,107.763,null
player_attack,106.5888,null
player_attack,105.3582,null
player_attack,104.1298,null
player_attack,102.4391,null
player_attack,101.3561,null
player_attack,100.2677,null
player_attack,99.11919,null
player_attack,97.92244,null
player_attack,93.25664,null
player_attack,92.17793,null
player_attack,91.00192,null
player_attack,81.65901,null
player_attack,80.5809,null
player_attack,74.94772,null
player_attack,73.87514,null
player_attack,72.68391,null
player_attack,66.55502,null
player_attack,65.46128,null
player_attack,64.24342,null
player_attack,59.92999,null
player_attack,58.76563,null
player_attack,57.39716,null
player_attack,53.34147,null
player_attack,52.18049,null
player_attack,48.84452,null
player_attack,47.76528,null
player_attack,46.63899,null
player_attack,34.51177,null
player_attack,33.26661,null
player_attack,32.0598,null
player_attack,26.8718,null
