EVENT,TIME,VALUE
game_start,120,null
game_over,71.32494,LOSE
player_killed,71.32494,null
small_enemy_hit,84.75194,null
small_enemy_hit,83.5675,null
small_enemy_killed,83.5675,null
big_enemy_hit,110.1997,null
big_enemy_hit,108.9446,null
big_enemy_hit,106.3511,null
big_enemy_hit,105.2801,null
big_enemy_hit,96.76089,null
big_enemy_hit,95.70235,null
big_enemy_hit,94.55103,null
big_enemy_hit,93.33476,null
big_enemy_killed,108.9446,null
big_enemy_killed,105.2801,null
big_enemy_killed,93.33476,null
player_attack,110.6081,null
player_attack,109.3514,null
player_attack,106.7551,null
player_attack,105.6969,null
player_attack,104.2774,null
player_attack,97.16871,null
player_attack,96.11092,null
player_attack,94.95789,null
player_attack,93.75427,null
player_attack,92.57112,null
player_attack,89.19314,null
player_attack,87.93579,null
player_attack,86.70426,null
player_attack,85.16898,null
player_attack,83.99252,null
player_attack,82.49923,null
player_attack,81.35536,null
player_attack,79.06533,null
player_attack,77.91035,null
player_attack,72.40308,null
