EVENT,TIME,VALUE
game_start,120,null
game_over,81.84698,LOSE
player_killed,81.84698,null
small_enemy_hit,106.0281,null
small_enemy_hit,104.9732,null
small_enemy_hit,101.4567,null
small_enemy_hit,100.2859,null
small_enemy_hit,87.75849,null
small_enemy_killed,104.9732,null
small_enemy_killed,100.2859,null
big_enemy_hit,84.16132,null
big_enemy_hit,82.9865,null
player_attack,106.459,null
player_attack,105.393,null
player_attack,101.8656,null
player_attack,100.6932,null
player_attack,92.34892,null
player_attack,91.21872,null
player_attack,88.20136,null
player_attack,86.7859,null
player_attack,84.59407,null
player_attack,83.44724,null
player_attack,82.18646,null
